recno,Name,Survey,zHD,e_zHD,zCMB,zHel,mBcorr,e_mBcorr,c,e_c,x1,e_x1,mB,e_mB,B14,SDSSII-SN,K17,PS1MD,B19,F18,C22,SimbadName,_RA,_DE
390,"2002he","LOSS1",0.02519,8.6E-4,0.02469,0.02441,15.861,0.153,-0.061,0.021,-1.656,0.059,15.966,0.031,1,0,0,1,2,0,1,"SN 2002he",124.99502,62.82048
391,"2002he","CfA3S",0.02519,8.6E-4,0.02469,0.02441,15.862,0.173,-0.038,0.033,-1.667,0.179,16.023,0.049,1,0,0,1,2,0,1,"SN 2002he",124.99502,62.82048
156,"1997E","CfA2",0.01376,8.5E-4,0.01314,0.01315,14.512,0.288,0.016,0.033,-1.752,0.091,14.902,0.078,1,0,0,0,0,0,1,"SN 1997E",101.90875,74.4975
146,"AT2017cfd","FOUND",0.01304,8.6E-4,0.01222,0.01208,14.322,0.291,0.051,0.034,-0.529,0.094,14.57,0.041,0,0,0,0,0,1,1,"AT2017cfd",130.205,73.4875
147,"2017cfd","LOSS2",0.01304,8.6E-4,0.01222,0.01208,14.314,0.284,0.058,0.027,-0.794,0.104,14.599,0.032,0,0,0,0,0,1,0,"SN 2017cfd",130.205,73.4875
30,"2011B","SOUSA",0.00538,8.4E-4,0.00458,0.00452,12.398,0.514,-0.027,0.041,-1.022,0.098,12.493,0.039,0,0,0,0,0,0,1,"SN 2011B",133.95042,78.21711
38,"2015bp","SOUSA",0.00592,8.4E-4,0.00603,0.00539,13.216,0.486,-0.05,0.045,-2.134,0.114,13.463,0.047,0,0,0,0,0,0,1,"SN 2015bp",226.367,1.635
586,"2008051","CfA4p1",0.03873,8.7E-4,0.03835,0.03777,16.76,0.168,-0.132,0.03,0.719,0.135,16.37,0.042,0,0,0,1,2,0,1,"SNF 20080522-011",229.99558,4.90458
608,"ASASSN-16ct","FOUND",0.04306,8.7E-4,0.04252,0.04191,16.993,0.205,-0.002,0.034,1.47,0.196,16.832,0.048,0,0,0,0,0,0,1,"ASASSN-16ct",228.47636,4.75719
587,"ASASSN-15np","FOUND",0.03884,8.7E-4,0.03832,0.03768,16.773,0.218,0.053,0.037,-1.064,0.236,17.075,0.047,0,0,0,0,0,1,1,"ASASSN-15np",226.51104,7.56154
540,"2007ba","CSP",0.03441,8.6E-4,0.03533,0.03474,16.572,0.34,0.249,0.025,-2.293,0.064,17.506,0.031,0,0,0,0,0,0,1,"SN 2007ba",229.17417,7.39667
619,"PS16cqa","FOUND",0.04521,8.7E-4,0.04433,0.04385,17.434,0.304,0.173,0.059,-2.742,0.345,18.251,0.078,0,0,0,0,0,1,1,"PS16cqa",234.77917,9.29458
728,"2005ag","CSP",0.08009,9.0E-4,0.08024,0.07954,18.414,0.116,-0.074,0.024,0.282,0.05,18.187,0.029,0,0,0,0,0,0,1,"SN 2005ag",224.18,9.32667
458,"ASASSN-16fs","FOUND",0.02944,8.6E-4,0.0299,0.0292,16.023,0.179,-0.026,0.037,-1.34,0.135,16.168,0.048,0,0,0,0,0,0,1,"ASASSN-16fs",221.77658,11.59498
305,"1999dg","LOSS1",0.02197,8.6E-4,0.02263,0.02206,15.606,0.245,-0.101,0.046,-1.76,0.162,15.663,0.041,0,0,0,0,0,0,1,"SN 1999dg",227.86837,13.48492
712,"Gaia16aki","FOUND",0.07393,9.0E-4,0.07398,0.07363,18.301,0.174,-0.088,0.04,0.591,0.246,18.022,0.048,0,0,0,0,0,0,1,"Gaia16aki",239.79417,14.6415
649,"ASASSN-17eb","FOUND",0.05044,8.8E-4,0.0497,0.04924,17.209,0.2,0.045,0.04,-1.504,0.185,17.533,0.055,0,0,0,0,0,1,1,"ASASSN-17eb",234.64187,13.34766
652,"AT2016cor","FOUND",0.05066,8.8E-4,0.04995,0.04954,17.599,0.301,0.139,0.035,-0.547,0.289,18.122,0.043,0,0,0,0,0,0,1,"AT2016cor",236.13,16.30356
623,"SN2016esh","FOUND",0.04583,8.7E-4,0.04488,0.04457,16.905,0.181,-0.112,0.04,-1.222,0.27,16.848,0.049,0,0,0,0,0,0,1,"SN2016esh",241.05979,16.69002
82,"1991M","LOWZ",0.00821,8.4E-4,0.00758,0.00726,13.961,0.462,0.009,0.093,-1.097,0.269,14.223,0.119,0,0,0,0,0,0,1,"SN 1991M",239.64508,17.45797
536,"2011dl","LOSS2",0.03403,8.6E-4,0.03432,0.0341,16.506,0.312,0.128,0.03,0.597,0.191,16.896,0.054,0,0,0,0,0,0,1,"SN 2011dl",244.52071,21.55111
495,"2006bt","LOSS1",0.03121,8.6E-4,0.03241,0.03208,16.519,0.223,0.071,0.028,0.303,0.121,16.654,0.041,0,0,0,0,0,0,1,"SN 2006bt",239.14087,20.052
496,"2006bt","CSP",0.03121,8.6E-4,0.03241,0.03208,16.49,0.225,0.084,0.022,0.229,0.042,16.668,0.035,0,0,0,0,0,0,1,"SN 2006bt",239.14087,20.052
497,"2006bt","CfA3K",0.03121,8.6E-4,0.03241,0.03208,16.534,0.215,0.064,0.027,0.184,0.071,16.669,0.04,0,0,0,0,0,0,1,"SN 2006bt",239.14087,20.052
299,"2009dc","CSP",0.02137,8.5E-4,0.02179,0.02146,15.094,0.197,0.001,0.026,2.238,0.11,14.767,0.045,0,0,1,0,0,0,1,"SN 2009dc",237.8005,25.70778
252,"2009gf","CfA4p1",0.01855,8.5E-4,0.01925,0.01844,15.239,0.254,0.068,0.031,-2.721,0.175,15.831,0.034,0,0,0,0,0,0,1,"SN 2009gf",213.905,14.2802
253,"2009gf","SOUSA",0.01855,8.5E-4,0.01925,0.01844,15.323,0.295,0.037,0.054,-2.724,0.211,15.832,0.044,0,0,0,0,0,0,1,"SN 2009gf",213.905,14.2802
697,"PTSS17-niq","FOUND",0.06897,8.9E-4,0.0691,0.06828,18.029,0.172,-0.041,0.041,-0.598,0.329,18.014,0.049,0,0,0,0,0,1,1,"PTSS-17niq",215.06954,15.34155
626,"AT2016ews","FOUND",0.04631,8.7E-4,0.04612,0.04555,17.286,0.157,-0.159,0.037,1.045,0.221,16.773,0.048,0,0,0,0,0,0,1,"SN 2016ews",225.65229,23.35265
187,"iPTF16auf","FOUND",0.01543,8.5E-4,0.01566,0.01502,14.821,0.314,0.048,0.031,0.047,0.085,15.084,0.037,0,0,0,0,0,0,1,"iPTF16auf",217.78858,27.23606
558,"2001ck","LOSS1",0.03616,9.3E-4,0.03544,0.03483,16.606,0.222,-0.071,0.045,0.012,0.157,16.458,0.034,0,0,0,0,0,0,1,"SN 2001ck",219.45867,30.48394
1694,"SCP06K0","SNAP",1.41633,0.00208,1.41631,1.41499,25.205,0.735,0.116,0.098,0.564,1.391,25.484,0.143,0,0,0,0,0,0,1,"SCP06K0",219.53486,34.23836
1683,"SCP06H5","SNAP",1.23225,0.00193,1.23223,1.23099,25.068,0.61,-0.051,0.118,-1.634,1.457,25.167,0.135,0,0,0,0,0,0,1,"SCP06H5",218.62558,34.44925
520,"SN2017cii","FOUND",0.03289,8.6E-4,0.03337,0.03323,16.585,0.177,-0.115,0.037,0.335,0.153,16.288,0.06,0,0,0,0,0,1,1,"SN2017cii",248.3325,23.731
551,"2007hu","CfA4p1",0.03551,8.6E-4,0.03518,0.03518,16.738,0.374,0.205,0.07,-1.395,0.523,17.454,0.16,0,0,0,1,2,0,1,"SN 2007hu",254.12453,27.97771
528,"2010ag","CfA4p2",0.03335,8.6E-4,0.03336,0.0334,16.563,0.197,0.028,0.031,1.797,0.217,16.36,0.038,0,0,0,0,0,0,1,"SN 2010ag",255.97346,31.50172
662,"2010dt","CfA4p2",0.05316,8.8E-4,0.05291,0.05287,17.594,0.17,-0.106,0.042,-0.081,0.442,17.352,0.06,0,0,0,1,2,0,1,"SN 2010dt",250.81276,32.67432
461,"2002de","LOSS1",0.0295,8.6E-4,0.0305,0.03034,16.111,0.282,0.086,0.019,0.324,0.066,16.409,0.023,1,0,0,0,2,0,1,"SN 2002de",244.12639,35.70836
483,"2009eu","LOSS2",0.03108,0.00178,0.03072,0.03063,16.669,0.398,0.201,0.038,-1.995,0.21,17.464,0.045,0,0,0,0,0,0,1,"SN 2009eu",247.171,39.5535
484,"2009fv","LOSS2",0.03108,8.6E-4,0.03072,0.03065,16.153,0.331,0.162,0.023,-0.731,0.123,16.673,0.027,0,0,0,0,2,0,1,"SN 2009fv",247.43425,40.81161
485,"2009fv","CfA4p1",0.03108,8.6E-4,0.03072,0.03065,16.084,0.374,0.259,0.039,-0.462,0.116,16.794,0.083,0,0,0,0,2,0,1,"SN 2009fv",247.43425,40.81161
472,"ASASSN-15nq","FOUND",0.03023,8.6E-4,0.03025,0.03036,16.266,0.164,-0.09,0.034,-0.337,0.133,16.111,0.045,0,0,0,0,0,1,1,"ASASSN-15nq",259.33012,33.46202
501,"2010gn","SOUSA",0.03147,8.6E-4,0.03123,0.03136,16.659,0.273,-0.104,0.06,-0.778,0.336,16.555,0.045,0,0,0,0,0,0,1,"SN 2010gn",259.45879,40.88128
447,"2013bs","LOSS2",0.02866,8.7E-4,0.02859,0.02871,16.158,0.2,-0.014,0.03,-1.536,0.089,16.355,0.038,0,0,0,0,0,0,1,"SN 2013bs",259.34179,41.06672
593,"2003fa","LOSS1",0.04056,8.8E-4,0.04015,0.04039,16.764,0.141,-0.094,0.026,1.187,0.056,16.364,0.035,1,0,0,1,2,0,1,"SN 2003fa",266.03223,40.88086
594,"2003fa","CfA3S",0.04056,8.8E-4,0.04015,0.04039,16.829,0.142,-0.052,0.026,1.51,0.096,16.474,0.036,1,0,0,1,2,0,1,"SN 2003fa",266.03223,40.88086
396,"PS15ahs","FOUND",0.02534,8.6E-4,0.02522,0.02551,15.944,0.184,-0.091,0.032,0.173,0.097,15.734,0.041,0,0,0,0,0,1,1,"PS15ahs",269.87404,43.39006
706,"PS15bdr","FOUND",0.07116,8.9E-4,0.07094,0.07096,18.102,0.194,-0.008,0.045,-2.307,0.26,18.364,0.046,0,0,0,0,0,1,1,"PS15bdr",253.70592,36.72514
446,"2007is","CfA4p1",0.02866,8.6E-4,0.02953,0.02953,16.092,0.21,0.005,0.032,-0.441,0.184,16.169,0.04,0,0,0,1,2,0,1,"SN 2007is",251.81087,40.24344
309,"ASASSN-18iu","CNIa0.02",0.02207,8.6E-4,0.02202,0.0223,15.632,0.184,-0.115,0.024,0.561,0.074,15.306,0.036,0,0,0,0,0,0,1,"ASASSN-18iu",269.41747,50.03859
489,"1999cc","CfA2",0.03116,8.6E-4,0.03132,0.03111,16.335,0.167,-0.027,0.027,-1.607,0.075,16.511,0.031,1,0,0,0,0,0,1,"SN 1999cc",240.67512,37.35956
510,"AT2017po","FOUND",0.03255,8.6E-4,0.03201,0.03183,16.323,0.195,-0.075,0.037,0.215,0.245,16.145,0.046,0,0,0,0,0,1,1,"AT2017po",240.96542,39.99005
613,"ASASSN-15mg","FOUND",0.04408,8.7E-4,0.04307,0.04277,17.077,0.179,-0.045,0.037,-1.557,0.16,17.233,0.044,0,0,0,0,0,1,1,"ASASSN-15mg",233.095,41.8499
282,"PSNJ1602512","FOUND",0.02052,8.6E-4,0.02039,0.02025,15.303,0.333,0.097,0.032,0.348,0.104,15.692,0.038,0,0,0,0,0,1,1,"PSN J16025128+4713292",240.71283,47.225
637,"ATLAS16agv","FOUND",0.04819,8.9E-4,0.04777,0.04779,17.245,0.164,-0.094,0.034,1.322,0.206,16.853,0.04,0,0,0,0,0,0,1,"ATLAS16agv",250.29046,50.97247
1190,"390264","PS1MD",0.29221,0.00147,0.29208,0.292,21.17,0.291,0.222,0.033,0.156,0.315,21.805,0.052,0,0,0,3,0,0,1,"[JSR2018] psc390264",243.373,53.99092
1208,"170428","PS1MD",0.3002,0.00147,0.30007,0.3,21.731,0.196,-0.02,0.03,-0.986,0.23,21.819,0.043,0,0,0,3,0,0,1,"[JSR2018] psc170428",243.61847,54.00302
1228,"520062","PS1MD",0.30818,0.00148,0.30805,0.308,21.949,0.137,-0.051,0.034,0.315,0.283,21.762,0.046,0,0,0,3,0,0,1,"[JSR2018] psc520062",244.45137,54.63338
1138,"520023","PS1MD",0.26818,0.00146,0.26804,0.268,21.209,0.23,-0.04,0.062,-0.612,0.477,21.191,0.087,0,0,0,3,0,0,1,"[JSR2018] psc520023",245.23915,55.15483
1359,"510578","PS1MD",0.37023,0.01007,0.37012,0.37,22.126,0.187,-0.128,0.032,0.585,0.306,21.752,0.046,0,0,0,3,0,0,1,"[JSR2018] psc510578",241.23259,53.91212
